vi;vj;comprimento;demanda;tipo
421;1;256.59;192.4425;"CD"
2;3;253.54;190.155;"CD"
4;5;250.8;188.10000000000002;"CD"
6;7;247.49;185.6175;"CD"
8;9;244.0;183.0;"CD"
10;11;240.51;180.3825;"CD"
12;13;236.09;177.0675;"CD"
14;15;231.78;173.835;"CD"
16;17;227.76;170.82;"CD"
18;19;220.15;165.1125;"CD"
20;21;216.79;162.5925;"CD"
22;23;212.41;159.3075;"CD"
24;25;208.15;156.1125;"CD"
26;27;205.49;154.1175;"CD"
28;29;203.4;152.55;"CD"
30;31;199.48;149.60999999999999;"CD"
32;33;197.54;148.155;"CD"
34;35;195.1;146.325;"CD"
36;37;194.53;145.8975;"CD"
38;39;192.53;144.3975;"CD"
40;41;191.18;143.385;"CD"
42;43;189.77;142.32750000000001;"CD"
44;45;187.91;140.9325;"CD"
46;47;187.23;140.42249999999999;"CD"
48;49;185.75;139.3125;"CD"
50;51;184.31;138.23250000000002;"CD"
52;53;183.42;137.565;"CD"
54;55;182.58;136.935;"CD"
56;57;181.41;136.0575;"CD"
58;59;180.59;135.4425;"CD"
60;61;180.53;135.3975;"CD"
62;63;180.09;135.0675;"CD"
64;65;177.21;132.9075;"CD"
66;67;177.04;132.78;"CD"
68;69;175.1;131.325;"CD"
70;71;174.57;130.9275;"CD"
72;73;172.44;129.32999999999998;"CD"
74;75;167.83;125.8725;"CD"
76;77;162.88;122.16;"CD"
78;79;159.65;119.73750000000001;"CD"
80;81;155.47;116.60249999999999;"CD"
82;83;151.28;113.46000000000001;"CD"
84;85;148.34;111.255;"CD"
86;87;145.36;109.02000000000001;"CD"
88;89;141.32;105.99;"CD"
90;91;139.11;104.33250000000001;"CD"
92;93;136.88;102.66;"CD"
94;95;134.99;101.2425;"CD"
96;97;132.05;99.03750000000001;"CD"
98;99;131.07;98.3025;"CD"
100;101;129.57;97.1775;"CD"
102;103;127.91;95.9325;"CD"
104;105;126.13;94.5975;"CD"
106;107;123.94;92.955;"CD"
108;109;121.56;91.17;"CD"
110;111;120.73;90.5475;"CD"
112;113;118.99;89.24249999999999;"CD"
114;115;116.77;87.5775;"CD"
116;117;115.56;86.67;"CD"
118;119;114.16;85.62;"CD"
120;121;112.43;84.3225;"CD"
122;123;111.54;83.655;"CD"
124;125;110.24;82.67999999999999;"CD"
126;127;109.39;82.0425;"CD"
128;129;107.89;80.9175;"CD"
130;131;105.77;79.3275;"CD"
132;133;105.49;79.11749999999999;"CD"
134;135;105.03;78.77250000000001;"CD"
