vi;vj;comprimento;demanda;tipo
669;1;484.71;363.53249999999997;"CD"
2;3;453.5;340.125;"CD"
4;5;486.68;365.01;"CD"
6;7;486.0;364.5;"CD"
8;9;488.12;366.09000000000003;"CD"
10;11;485.47;364.1025;"CD"
12;13;487.16;365.37;"CD"
14;15;486.29;364.71750000000003;"CD"
16;17;478.8;359.1;"CD"
18;19;478.65;358.98749999999995;"CD"
20;21;479.18;359.385;"CD"
22;23;480.37;360.27750000000003;"CD"
24;25;481.57;361.1775;"CD"
26;27;482.51;361.8825;"CD"
28;29;482.48;361.86;"CD"
30;31;484.16;363.12;"CD"
32;33;484.06;363.045;"CD"
34;35;466.29;349.71750000000003;"CD"
36;37;468.27;351.2025;"CD"
38;39;468.7;351.525;"CD"
40;41;467.29;350.46750000000003;"CD"
42;43;469.61;352.2075;"CD"
44;45;470.5;352.875;"CD"
46;47;470.83;353.1225;"CD"
48;49;471.88;353.90999999999997;"CD"
50;51;471.82;353.865;"CD"
52;53;471.75;353.8125;"CD"
54;55;473.26;354.945;"CD"
56;57;473.67;355.2525;"CD"
58;59;472.94;354.705;"CD"
60;61;475.32;356.49;"CD"
62;63;475.37;356.52750000000003;"CD"
64;65;475.34;356.505;"CD"
66;67;476.5;357.375;"CD"
68;69;478.37;358.77750000000003;"CD"
70;71;477.96;358.46999999999997;"CD"
72;73;477.52;358.14;"CD"
74;75;345.56;0.0;"SD"
76;77;350.01;262.5075;"CD"
78;79;358.1;268.57500000000005;"CD"
80;81;369.7;277.275;"CD"
82;83;379.91;284.9325;"CD"
84;85;384.75;288.5625;"CD"
86;87;393.79;295.34250000000003;"CD"
88;89;395.09;296.3175;"CD"
90;91;396.46;297.34499999999997;"CD"
92;93;397.02;297.765;"CD"
94;95;400.11;300.0825;"CD"
96;97;401.24;300.93;"CD"
98;99;401.74;301.305;"CD"
100;101;403.48;302.61;"CD"
102;103;405.37;304.02750000000003;"CD"
104;105;406.52;304.89;"CD"
106;107;405.59;304.1925;"CD"
108;109;406.63;304.97249999999997;"CD"
110;111;408.61;306.4575;"CD"
112;113;410.22;307.665;"CD"
114;115;412.26;309.195;"CD"
116;117;413.52;310.14;"CD"
118;119;416.46;312.34499999999997;"CD"
120;121;415.13;311.34749999999997;"CD"
122;123;418.59;313.9425;"CD"
124;125;417.71;313.28249999999997;"CD"
126;127;419.67;314.7525;"CD"
128;129;421.93;316.4475;"CD"
130;131;424.26;318.195;"CD"
132;133;423.55;317.6625;"CD"
134;135;425.09;318.8175;"CD"
136;137;426.68;320.01;"CD"
138;139;429.75;322.3125;"CD"
140;141;429.82;322.365;"CD"
142;143;432.62;324.46500000000003;"CD"
144;145;431.53;323.6475;"CD"
146;147;433.72;325.29;"CD"
148;149;433.51;325.1325;"CD"
150;151;436.08;327.06;"CD"
152;153;437.93;328.4475;"CD"
154;155;438.5;328.875;"CD"
156;157;439.65;329.73749999999995;"CD"
158;159;441.23;330.9225;"CD"
160;161;444.93;333.6975;"CD"
162;163;448.72;336.54;"CD"
164;165;452.64;339.48;"CD"
166;167;453.28;339.96;"CD"
168;169;27.36;0.0;"SD"
170;171;39.69;29.7675;"CD"
172;173;76.18;57.135000000000005;"CD"
174;175;95.77;71.8275;"CD"
176;177;104.36;78.27;"CD"
178;179;112.59;84.4425;"CD"
180;181;118.98;89.235;"CD"
182;183;127.29;95.4675;"CD"
184;185;137.7;103.27499999999999;"CD"
186;187;150.22;112.66499999999999;"CD"
188;189;164.01;123.0075;"CD"
190;191;183.37;137.5275;"CD"
192;193;319.72;239.79000000000002;"CD"
194;195;331.5;248.625;"CD"
196;197;345.5;259.125;"CD"
198;199;361.07;270.8025;"CD"
200;201;371.62;278.71500000000003;"CD"
202;203;381.13;285.84749999999997;"CD"
204;205;390.31;292.7325;"CD"
206;207;401.74;301.305;"CD"
208;209;408.99;306.7425;"CD"
210;211;418.15;313.61249999999995;"CD"
212;213;424.56;318.42;"CD"
214;215;429.11;321.8325;"CD"
216;217;432.65;324.48749999999995;"CD"
218;219;435.21;326.40749999999997;"CD"
220;221;434.4;325.79999999999995;"CD"
222;223;434.91;326.1825;"CD"
224;225;436.54;327.40500000000003;"CD"
226;227;436.56;327.42;"CD"
228;229;437.93;328.4475;"CD"
230;231;438.78;329.085;"CD"
232;233;439.85;329.88750000000005;"CD"
234;235;441.27;330.9525;"CD"
236;237;443.09;332.3175;"CD"
238;239;444.1;333.07500000000005;"CD"
240;241;445.29;333.96750000000003;"CD"
242;243;445.94;334.455;"CD"
244;245;446.55;334.9125;"CD"
246;247;447.11;335.3325;"CD"
248;249;447.02;335.265;"CD"
250;251;447.51;335.6325;"CD"
252;253;448.93;336.6975;"CD"
254;255;449.8;337.35;"CD"
256;257;450.84;338.13;"CD"
258;259;450.49;337.8675;"CD"
260;261;451.22;338.415;"CD"
262;263;452.93;339.6975;"CD"
264;265;452.78;339.585;"CD"
266;267;453.22;339.915;"CD"
268;269;453.81;340.3575;"CD"
270;271;453.89;340.4175;"CD"
272;273;454.52;340.89;"CD"
274;275;453.1;339.82500000000005;"CD"
276;277;453.79;340.34250000000003;"CD"
278;279;455.28;341.46;"CD"
280;281;455.04;341.28000000000003;"CD"
282;283;457.81;343.3575;"CD"
284;285;456.88;342.65999999999997;"CD"
286;287;458.48;343.86;"CD"
288;289;459.36;344.52;"CD"
290;291;459.2;344.4;"CD"
292;293;461.15;345.86249999999995;"CD"
294;295;460.56;345.42;"CD"
296;297;461.96;346.46999999999997;"CD"
298;299;461.54;346.15500000000003;"CD"
300;301;462.88;347.15999999999997;"CD"
302;303;463.66;347.745;"CD"
304;305;463.77;347.8275;"CD"
306;307;463.95;347.9625;"CD"
308;309;464.63;348.47249999999997;"CD"
310;311;464.5;348.375;"CD"
312;313;465.02;348.765;"CD"
314;315;465.38;349.03499999999997;"CD"
316;317;466.57;349.9275;"CD"
318;319;466.46;349.84499999999997;"CD"
320;321;467.45;350.5875;"CD"
142;144;1.56;0.0;"SD"
144;146;4.2;0.0;"SD"
146;148;1.68;0.0;"SD"
148;150;4.14;0.0;"SD"
150;152;3.67;0.0;"SD"
152;154;3.37;0.0;"SD"
154;156;2.18;0.0;"SD"
156;158;3.51;0.0;"SD"
158;160;6.06;0.0;"SD"
160;162;5.0;0.0;"SD"
162;164;5.3;0.0;"SD"
164;166;3.34;0.0;"SD"
166;2;1.6;0.0;"SD"
2;322;34.97;0.0;"SD"
322;8;1.8;0.0;"SD"
8;6;2.12;0.0;"SD"
6;4;2.88;0.0;"SD"
4;15;1.98;0.0;"SD"
15;13;1.9;0.0;"SD"
13;11;1.62;0.0;"SD"
11;669;1.81;0.0;"SD"
669;33;2.11;0.0;"SD"
33;31;1.98;0.0;"SD"
31;29;1.41;0.0;"SD"
29;27;2.34;0.0;"SD"
27;25;1.42;0.0;"SD"
25;23;1.57;0.0;"SD"
23;21;1.55;0.0;"SD"
21;19;1.86;0.0;"SD"
19;17;2.22;0.0;"SD"
17;73;1.94;0.0;"SD"
73;71;1.6;0.0;"SD"
71;69;1.95;0.0;"SD"
69;67;1.95;0.0;"SD"
67;65;1.55;0.0;"SD"
65;63;2.04;0.0;"SD"
63;61;1.44;0.0;"SD"
61;59;2.56;0.0;"SD"
59;57;1.01;0.0;"SD"
57;55;2.13;0.0;"SD"
55;53;1.35;0.0;"SD"
53;51;2.11;0.0;"SD"
51;49;2.1;0.0;"SD"
49;47;1.36;0.0;"SD"
47;45;1.82;0.0;"SD"
45;43;1.76;0.0;"SD"
43;41;1.62;0.0;"SD"
41;39;1.78;0.0;"SD"
39;37;1.98;0.0;"SD"
37;35;1.78;0.0;"SD"
35;321;2.25;0.0;"SD"
321;319;1.88;0.0;"SD"
319;317;1.81;0.0;"SD"
317;315;1.47;0.0;"SD"
315;313;1.87;0.0;"SD"
313;311;1.71;0.0;"SD"
311;309;1.61;0.0;"SD"
309;307;1.73;0.0;"SD"
307;305;1.91;0.0;"SD"
305;303;1.57;0.0;"SD"
303;301;1.24;0.0;"SD"
301;299;2.26;0.0;"SD"
299;297;1.86;0.0;"SD"
297;295;1.95;0.0;"SD"
295;293;1.97;0.0;"SD"
293;291;1.66;0.0;"SD"
291;289;1.88;0.0;"SD"
289;287;2.04;0.0;"SD"
287;285;1.53;0.0;"SD"
285;283;2.29;0.0;"SD"
283;281;1.78;0.0;"SD"
281;279;0.98;0.0;"SD"
279;277;1.41;0.0;"SD"
277;275;2.06;0.0;"SD"
275;273;3.33;0.0;"SD"
273;271;2.0;0.0;"SD"
271;269;1.88;0.0;"SD"
269;267;1.91;0.0;"SD"
267;265;1.63;0.0;"SD"
265;263;1.77;0.0;"SD"
263;261;1.71;0.0;"SD"
261;259;1.36;0.0;"SD"
259;257;1.99;0.0;"SD"
257;255;1.39;0.0;"SD"
255;253;1.86;0.0;"SD"
253;251;1.73;0.0;"SD"
251;249;1.8;0.0;"SD"
249;247;2.02;0.0;"SD"
247;245;1.65;0.0;"SD"
245;243;1.65;0.0;"SD"
243;241;1.65;0.0;"SD"
241;239;1.29;0.0;"SD"
239;237;1.55;0.0;"SD"
237;235;1.35;0.0;"SD"
235;233;1.72;0.0;"SD"
233;231;1.8;0.0;"SD"
231;229;1.47;0.0;"SD"
229;227;1.83;0.0;"SD"
227;225;1.51;0.0;"SD"
225;223;1.92;0.0;"SD"
223;221;1.47;0.0;"SD"
221;219;1.96;0.0;"SD"
219;217;1.42;0.0;"SD"
217;215;2.49;0.0;"SD"
215;213;3.95;0.0;"SD"
213;211;4.13;0.0;"SD"
211;209;8.34;0.0;"SD"
209;207;6.24;0.0;"SD"
207;205;9.6;0.0;"SD"
205;203;7.46;0.0;"SD"
203;201;8.43;0.0;"SD"
201;199;9.12;0.0;"SD"
199;197;14.98;0.0;"SD"
197;195;12.23;0.0;"SD"
195;193;10.7;0.0;"SD"
193;191;143.01;0.0;"SD"
191;189;9.25;0.0;"SD"
189;187;12.39;0.0;"SD"
187;185;11.04;0.0;"SD"
185;183;8.5;0.0;"SD"
183;181;7.09;0.0;"SD"
181;179;4.43;0.0;"SD"
179;177;6.72;0.0;"SD"
177;175;7.8;0.0;"SD"
175;173;18.58;0.0;"SD"
173;323;21.57;0.0;"SD"
74;76;7.11;0.0;"SD"
76;78;9.51;0.0;"SD"
78;80;12.8;0.0;"SD"
80;82;11.06;0.0;"SD"
82;84;6.7;0.0;"SD"
84;86;10.26;0.0;"SD"
86;88;3.25;0.0;"SD"
88;90;2.98;0.0;"SD"
90;92;2.76;0.0;"SD"
92;94;5.01;0.0;"SD"
94;96;3.01;0.0;"SD"
96;98;2.19;0.0;"SD"
