vi;vj;comprimento;demanda;tipo
32;1;640.16;480.12;"CD"
2;3;638.06;478.54499999999996;"CD"
4;5;631.2;473.40000000000003;"CD"
6;7;634.66;475.995;"CD"
8;9;614.55;460.91249999999997;"CD"
10;11;617.49;463.1175;"CD"
12;13;621.4;466.04999999999995;"CD"
14;15;624.53;468.3975;"CD"
16;17;627.57;470.6775;"CD"
18;19;591.6;443.70000000000005;"CD"
20;21;595.21;446.4075;"CD"
22;23;598.38;448.78499999999997;"CD"
24;25;601.56;451.16999999999996;"CD"
26;27;604.66;453.495;"CD"
28;29;607.61;455.7075;"CD"
30;31;611.38;458.53499999999997;"CD"
0;33;17.78;0.0;"SD"
34;35;27.49;20.6175;"CD"
36;37;33.56;25.17;"CD"
38;39;40.11;30.0825;"CD"
40;41;47.57;35.6775;"CD"
42;43;54.8;41.099999999999994;"CD"
44;45;62.22;46.665;"CD"
46;47;70.37;52.7775;"CD"
48;49;78.77;59.0775;"CD"
50;51;88.32;66.24;"CD"
52;53;95.33;71.4975;"CD"
54;55;103.8;77.85;"CD"
56;57;111.4;83.55000000000001;"CD"
58;59;121.58;91.185;"CD"
60;61;129.24;96.93;"CD"
62;63;138.43;103.8225;"CD"
64;65;149.5;112.125;"CD"
66;67;158.08;118.56;"CD"
68;69;169.85;127.38749999999999;"CD"
70;71;179.98;134.98499999999999;"CD"
72;73;189.03;141.7725;"CD"
74;75;202.16;151.62;"CD"
76;77;220.46;165.345;"CD"
78;79;272.95;204.71249999999998;"CD"
80;81;279.86;209.895;"CD"
82;83;283.12;212.34;"CD"
84;85;284.06;213.04500000000002;"CD"
86;87;285.82;214.365;"CD"
88;89;287.38;215.535;"CD"
90;91;288.37;216.2775;"CD"
92;93;290.1;217.57500000000002;"CD"
94;95;291.7;218.77499999999998;"CD"
96;97;292.58;219.435;"CD"
98;99;293.37;220.0275;"CD"
100;101;294.55;220.91250000000002;"CD"
102;103;295.71;221.78249999999997;"CD"
104;105;296.06;222.04500000000002;"CD"
106;107;296.36;222.27;"CD"
108;109;298.54;223.90500000000003;"CD"
110;111;298.34;223.755;"CD"
112;113;299.83;224.8725;"CD"
114;115;299.8;224.85000000000002;"CD"
116;117;299.87;224.9025;"CD"
118;119;299.93;224.9475;"CD"
120;121;300.45;225.33749999999998;"CD"
122;123;300.91;225.6825;"CD"
124;125;301.04;225.78000000000003;"CD"
126;127;302.08;226.56;"CD"
128;129;301.33;225.9975;"CD"
130;131;302.2;226.64999999999998;"CD"
132;133;302.51;226.8825;"CD"
134;135;302.65;226.98749999999998;"CD"
136;137;302.68;227.01;"CD"
138;139;302.73;227.0475;"CD"
140;141;303.98;227.985;"CD"
142;143;303.9;227.92499999999998;"CD"
144;145;304.63;228.4725;"CD"
146;147;304.78;228.58499999999998;"CD"
148;149;304.35;228.26250000000002;"CD"
150;151;305.13;228.8475;"CD"
152;153;305.23;228.9225;"CD"
154;155;305.58;229.185;"CD"
156;157;307.12;230.34;"CD"
158;159;307.32;230.49;"CD"
160;161;309.13;231.8475;"CD"
162;163;309.72;232.29000000000002;"CD"
164;165;309.7;232.27499999999998;"CD"
166;167;312.48;234.36;"CD"
168;169;314.68;236.01;"CD"
170;171;315.18;236.385;"CD"
172;173;316.2;237.14999999999998;"CD"
174;175;317.32;237.99;"CD"
176;177;318.98;239.235;"CD"
178;179;321.92;241.44;"CD"
180;181;324.74;243.555;"CD"
182;183;327.72;245.79000000000002;"CD"
184;185;331.01;248.2575;"CD"
186;187;332.46;249.34499999999997;"CD"
188;189;335.54;251.65500000000003;"CD"
190;191;337.84;253.38;"CD"
192;193;341.01;255.7575;"CD"
194;195;343.31;257.4825;"CD"
196;197;345.69;259.2675;"CD"
198;199;348.78;261.585;"CD"
200;201;352.25;264.1875;"CD"
202;203;355.24;266.43;"CD"
204;205;358.14;268.605;"CD"
206;207;362.25;271.6875;"CD"
208;209;363.38;272.53499999999997;"CD"
210;211;368.67;276.5025;"CD"
212;213;372.35;279.26250000000005;"CD"
214;215;377.87;283.40250000000003;"CD"
216;217;381.12;285.84000000000003;"CD"
218;219;384.63;288.47249999999997;"CD"
220;221;387.66;290.745;"CD"
222;223;394.99;296.2425;"CD"
224;225;403.42;302.565;"CD"
226;227;409.59;307.1925;"CD"
228;229;542.77;407.0775;"CD"
230;231;558.18;418.635;"CD"
232;233;566.87;425.15250000000003;"CD"
234;235;581.09;435.8175;"CD"
236;237;600.94;450.70500000000004;"CD"
238;239;618.81;464.10749999999996;"CD"
240;241;628.43;471.3225;"CD"
242;243;658.45;493.83750000000003;"CD"
244;245;666.33;499.74750000000006;"CD"
246;247;667.25;500.4375;"CD"
248;249;666.15;499.61249999999995;"CD"
250;251;663.18;497.385;"CD"
252;253;659.81;494.85749999999996;"CD"
254;255;656.87;492.65250000000003;"CD"
256;257;652.62;489.46500000000003;"CD"
258;259;649.6;487.20000000000005;"CD"
260;261;647.2;485.40000000000003;"CD"
262;263;643.78;482.835;"CD"
264;265;494.55;370.9125;"CD"
266;267;489.08;366.81;"CD"
268;269;491.89;368.9175;"CD"
270;271;515.58;386.68500000000006;"CD"
272;273;512.33;384.24750000000006;"CD"
274;275;510.3;382.725;"CD"
276;277;507.16;380.37;"CD"
278;279;503.18;377.385;"CD"
280;281;500.59;375.4425;"CD"
282;283;498.04;373.53000000000003;"CD"
284;285;517.61;388.2075;"CD"
286;287;521.5;391.125;"CD"
288;289;522.84;392.13;"CD"
290;291;526.42;394.81499999999994;"CD"
292;293;528.08;396.06000000000006;"CD"
294;295;532.34;399.255;"CD"
296;297;534.23;400.6725;"CD"
298;299;537.55;403.16249999999997;"CD"
300;301;540.22;405.165;"CD"
302;303;542.16;406.62;"CD"
304;305;546.83;410.12250000000006;"CD"
306;307;549.49;412.1175;"CD"
308;309;552.23;414.1725;"CD"
310;311;555.08;416.31000000000006;"CD"
312;313;557.37;418.02750000000003;"CD"
314;315;560.36;420.27;"CD"
316;317;564.42;423.31499999999994;"CD"
318;319;567.39;425.5425;"CD"
320;321;570.28;427.71;"CD"
322;323;572.66;429.495;"CD"
324;325;577.23;432.9225;"CD"
326;327;579.14;434.355;"CD"
328;329;582.36;436.77;"CD"
330;331;586.01;439.5075;"CD"
332;333;588.36;441.27;"CD"
334;335;347.26;260.445;"CD"
336;337;349.58;262.185;"CD"
338;339;353.17;264.8775;"CD"
340;341;354.63;265.97249999999997;"CD"
342;343;358.42;268.815;"CD"
344;345;361.2;270.9;"CD"
346;347;363.85;272.88750000000005;"CD"
348;349;366.07;274.5525;"CD"
350;351;369.49;277.1175;"CD"
352;353;371.73;278.7975;"CD"
354;355;374.46;280.84499999999997;"CD"
356;357;377.28;282.96;"CD"
358;359;381.39;286.0425;"CD"
360;361;384.21;288.15749999999997;"CD"
362;363;385.97;289.4775;"CD"
364;365;386.7;290.025;"CD"
366;367;358.77;269.0775;"CD"
368;369;356.97;267.7275;"CD"
370;371;356.42;267.315;"CD"
372;373;356.6;267.45000000000005;"CD"
374;375;355.77;266.8275;"CD"
376;377;354.31;265.7325;"CD"
378;379;354.38;265.78499999999997;"CD"
380;381;353.36;265.02;"CD"
382;383;350.24;262.68;"CD"
384;385;347.05;260.2875;"CD"
386;387;347.56;260.67;"CD"
388;389;348.72;261.54;"CD"
390;391;349.08;261.81;"CD"
392;393;348.17;261.1275;"CD"
394;395;347.55;260.6625;"CD"
396;397;348.93;261.6975;"CD"
398;399;349.21;261.90749999999997;"CD"
400;401;350.22;262.665;"CD"
402;403;350.64;262.98;"CD"
404;405;350.74;263.055;"CD"
406;407;351.39;263.5425;"CD"
408;409;353.61;265.2075;"CD"
410;411;356.26;267.195;"CD"
412;413;360.52;270.39;"CD"
414;415;370.65;277.98749999999995;"CD"
416;417;366.38;274.78499999999997;"CD"
418;419;471.22;353.415;"CD"
420;421;475.64;356.73;"CD"
422;423;476.87;357.65250000000003;"CD"
424;425;479.55;359.6625;"CD"
426;427;483.56;362.67;"CD"
428;429;485.71;364.28249999999997;"CD"
430;431;14.37;0.0;"SD"
432;433;18.01;13.5075;"CD"
434;435;22.34;16.755;"CD"
436;437;27.73;20.7975;"CD"
438;439;30.68;23.009999999999998;"CD"
440;441;34.85;26.137500000000003;"CD"
442;443;39.62;29.714999999999996;"CD"
444;445;44.13;33.097500000000004;"CD"
446;447;47.28;35.46;"CD"
448;449;53.31;39.9825;"CD"
450;451;57.0;42.75;"CD"
452;453;60.61;45.457499999999996;"CD"
454;455;65.03;48.7725;"CD"
456;457;68.76;51.57000000000001;"CD"
458;459;72.05;54.037499999999994;"CD"
460;461;75.41;56.5575;"CD"
462;463;79.92;59.94;"CD"
464;465;83.69;62.7675;"CD"
466;467;88.34;66.255;"CD"
468;469;91.95;68.9625;"CD"
470;471;95.14;71.355;"CD"
472;473;99.3;74.475;"CD"
474;475;102.24;76.67999999999999;"CD"
476;477;105.54;79.155;"CD"
478;479;108.24;81.17999999999999;"CD"
480;481;112.03;84.02250000000001;"CD"
482;483;114.69;86.0175;"CD"
484;485;118.38;88.785;"CD"
486;487;121.34;91.005;"CD"
488;489;124.52;93.39;"CD"
490;491;127.79;95.8425;"CD"
492;493;130.6;97.94999999999999;"CD"
494;495;133.33;99.9975;"CD"
496;497;137.5;103.125;"CD"
498;499;139.4;104.55000000000001;"CD"
500;501;143.59;107.6925;"CD"
502;503;146.59;109.9425;"CD"
504;505;149.43;112.0725;"CD"
506;507;153.06;114.795;"CD"
508;509;156.07;117.0525;"CD"
510;511;158.89;119.16749999999999;"CD"
512;513;161.92;121.44;"CD"
514;515;164.32;123.24;"CD"
516;517;167.45;125.58749999999999;"CD"
518;519;170.19;127.6425;"CD"
520;521;173.18;129.885;"CD"
522;523;175.53;131.6475;"CD"
524;525;179.1;134.325;"CD"
526;527;182.18;136.635;"CD"
528;529;184.67;138.5025;"CD"
530;531;187.63;140.7225;"CD"
532;533;190.69;143.01749999999998;"CD"
534;535;193.57;145.1775;"CD"
536;537;196.56;147.42000000000002;"CD"
538;539;199.97;149.9775;"CD"
540;541;202.52;151.89000000000001;"CD"
542;543;206.05;154.53750000000002;"CD"
544;545;208.34;156.255;"CD"
546;547;211.32;158.49;"CD"
548;549;214.23;160.67249999999999;"CD"
550;551;216.59;162.4425;"CD"
552;553;220.04;165.03;"CD"
554;555;222.74;167.055;"CD"
556;557;224.97;168.7275;"CD"
558;559;228.55;171.41250000000002;"CD"
560;561;231.16;173.37;"CD"
562;563;233.97;175.4775;"CD"
564;565;237.08;177.81;"CD"
566;567;240.36;180.27;"CD"
568;569;243.81;182.85750000000002;"CD"
570;571;246.1;184.575;"CD"
572;573;248.47;186.3525;"CD"
574;575;250.58;187.935;"CD"
576;577;254.05;190.53750000000002;"CD"
578;579;256.73;192.5475;"CD"
580;581;260.33;195.2475;"CD"
582;583;262.83;197.1225;"CD"
584;585;265.92;199.44;"CD"
586;587;267.95;200.96249999999998;"CD"
588;589;271.1;203.32500000000002;"CD"
590;591;273.3;204.97500000000002;"CD"
592;593;276.46;207.34499999999997;"CD"
594;595;279.35;209.51250000000002;"CD"
596;597;282.75;212.0625;"CD"
598;599;284.51;213.3825;"CD"
600;601;287.12;215.34;"CD"
602;603;290.58;217.935;"CD"
604;605;294.37;220.7775;"CD"
606;607;296.8;222.60000000000002;"CD"
608;609;298.12;223.59;"CD"
610;611;300.68;225.51;"CD"
612;613;302.94;227.20499999999998;"CD"
614;615;306.29;229.71750000000003;"CD"
616;617;309.56;232.17000000000002;"CD"
618;619;311.56;233.67000000000002;"CD"
620;621;314.3;235.72500000000002;"CD"
622;623;316.29;237.21750000000003;"CD"
624;625;318.62;238.965;"CD"
626;627;322.77;242.0775;"CD"
628;629;324.27;243.2025;"CD"
630;631;326.21;244.65749999999997;"CD"
632;633;330.05;247.53750000000002;"CD"
634;635;332.64;249.48;"CD"
636;637;336.56;252.42000000000002;"CD"
638;639;337.4;253.04999999999998;"CD"
640;641;340.97;255.72750000000002;"CD"
642;643;344.24;258.18;"CD"
418;416;105.45;0.0;"SD"
414;416;5.53;0.0;"SD"
296;294;2.35;0.0;"SD"
294;292;3.5;0.0;"SD"
292;290;1.76;0.0;"SD"
290;288;2.75;0.0;"SD"
288;286;1.8;0.0;"SD"
286;284;3.47;0.0;"SD"
284;271;1.85;0.0;"SD"
271;273;2.69;0.0;"SD"
273;275;1.64;0.0;"SD"
275;277;2.64;0.0;"SD"
277;279;3.23;0.0;"SD"
279;281;3.0;0.0;"SD"
281;283;2.45;0.0;"SD"
283;265;2.29;0.0;"SD"
265;269;2.7;0.0;"SD"
269;266;2.37;0.0;"SD"
266;428;2.55;0.0;"SD"
428;426;2.4;0.0;"SD"
426;424;3.91;0.0;"SD"
424;422;1.99;0.0;"SD"
422;420;1.73;0.0;"SD"
420;418;3.51;0.0;"SD"
243;245;9.49;0.0;"SD"
245;247;2.28;0.0;"SD"
247;249;1.43;0.0;"SD"
249;251;2.05;0.0;"SD"
251;253;2.54;0.0;"SD"
253;255;2.69;0.0;"SD"
255;257;2.78;0.0;"SD"
257;259;2.31;0.0;"SD"
259;261;2.01;0.0;"SD"
261;263;2.79;0.0;"SD"
263;32;2.76;0.0;"SD"
32;2;1.03;0.0;"SD"
2;6;2.66;0.0;"SD"
6;4;2.78;0.0;"SD"
4;16;2.21;0.0;"SD"
16;14;2.09;0.0;"SD"
14;12;2.45;0.0;"SD"
12;10;2.82;0.0;"SD"
10;8;2.61;0.0;"SD"
8;30;2.43;0.0;"SD"
30;28;2.87;0.0;"SD"
28;26;3.16;0.0;"SD"
26;24;2.23;0.0;"SD"
24;22;2.58;0.0;"SD"
22;20;2.75;0.0;"SD"
20;18;2.89;0.0;"SD"
18;332;2.96;0.0;"SD"
332;330;2.45;0.0;"SD"
330;328;2.96;0.0;"SD"
328;326;2.26;0.0;"SD"
326;324;2.06;0.0;"SD"
324;322;3.81;0.0;"SD"
322;320;3.21;0.0;"SD"
320;318;2.39;0.0;"SD"
318;316;2.62;0.0;"SD"
316;314;3.39;0.0;"SD"
314;312;2.3;0.0;"SD"
312;310;1.95;0.0;"SD"
310;308;2.59;0.0;"SD"
308;306;2.27;0.0;"SD"
306;304;2.69;0.0;"SD"
304;302;3.44;0.0;"SD"
302;300;2.33;0.0;"SD"
300;298;2.69;0.0;"SD"
298;296;2.48;0.0;"SD"
414;412;9.39;0.0;"SD"
412;410;4.4;0.0;"SD"
410;408;1.93;0.0;"SD"
408;406;1.89;0.0;"SD"
406;404;1.36;0.0;"SD"
404;402;1.51;0.0;"SD"
402;400;1.74;0.0;"SD"
400;398;1.26;0.0;"SD"
398;396;1.89;0.0;"SD"
396;394;1.86;0.0;"SD"
394;392;2.05;0.0;"SD"
392;390;1.93;0.0;"SD"
390;388;1.64;0.0;"SD"
388;386;1.41;0.0;"SD"
386;384;1.95;0.0;"SD"
384;382;4.0;0.0;"SD"
382;380;4.36;0.0;"SD"
380;378;2.19;0.0;"SD"
378;376;1.6;0.0;"SD"
376;374;2.61;0.0;"SD"
374;372;2.17;0.0;"SD"
372;370;1.62;0.0;"SD"
368;366;3.16;0.0;"SD"
606;602;5.34;0.0;"SD"
366;644;29.09;0.0;"SD"
644;364;1.45;0.0;"SD"
364;362;0.82;0.0;"SD"
362;360;1.77;0.0;"SD"
360;358;2.56;0.0;"SD"
358;356;3.38;0.0;"SD"
356;354;2.26;0.0;"SD"
354;352;2.75;0.0;"SD"
352;350;2.24;0.0;"SD"
350;348;2.51;0.0;"SD"
348;346;2.27;0.0;"SD"
346;344;2.53;0.0;"SD"
344;342;2.47;0.0;"SD"
342;340;2.39;0.0;"SD"
340;338;1.76;0.0;"SD"
338;336;2.8;0.0;"SD"
336;334;2.48;0.0;"SD"
334;642;2.82;0.0;"SD"
642;640;2.95;0.0;"SD"
640;638;3.18;0.0;"SD"
638;636;1.48;0.0;"SD"
636;634;3.07;0.0;"SD"
634;632;2.66;0.0;"SD"
632;630;3.24;0.0;"SD"
630;628;1.81;0.0;"SD"
628;626;1.67;0.0;"SD"
626;624;3.7;0.0;"SD"
624;622;1.82;0.0;"SD"
622;620;2.49;0.0;"SD"
620;618;2.49;0.0;"SD"
618;616;1.71;0.0;"SD"
616;614;2.6;0.0;"SD"
614;612;3.04;0.0;"SD"
612;610;2.15;0.0;"SD"
610;608;2.34;0.0;"SD"
608;606;1.58;0.0;"SD"
370;368;1.9;0.0;"SD"
602;600;3.04;0.0;"SD"
600;598;2.1;0.0;"SD"
598;596;1.78;0.0;"SD"
596;594;2.77;0.0;"SD"
594;592;2.46;0.0;"SD"
592;590;2.9;0.0;"SD"
590;588;2.02;0.0;"SD"
588;586;2.84;0.0;"SD"
586;584;1.91;0.0;"SD"
584;582;2.15;0.0;"SD"
582;580;2.0;0.0;"SD"
580;578;2.92;0.0;"SD"
578;576;2.51;0.0;"SD"
576;574;2.94;0.0;"SD"
574;572;1.82;0.0;"SD"
572;570;2.77;0.0;"SD"
570;568;1.93;0.0;"SD"
568;566;2.57;0.0;"SD"
566;564;2.59;0.0;"SD"
564;562;3.0;0.0;"SD"
562;560;2.44;0.0;"SD"
560;558;2.5;0.0;"SD"
558;556;2.58;0.0;"SD"
556;554;1.96;0.0;"SD"
554;552;2.67;0.0;"SD"
552;550;2.97;0.0;"SD"
550;548;1.97;0.0;"SD"
548;546;2.51;0.0;"SD"
546;544;2.66;0.0;"SD"
544;542;2.08;0.0;"SD"
542;540;2.53;0.0;"SD"
540;538;2.55;0.0;"SD"
538;536;2.43;0.0;"SD"
536;534;2.5;0.0;"SD"
534;532;2.43;0.0;"SD"
