vi;vj;comprimento;demanda;tipo
284;1;23.33;0.0;"SD"
2;3;51.87;38.902499999999996;"CD"
4;5;82.54;61.905;"CD"
6;7;97.57;73.1775;"CD"
8;9;111.27;83.4525;"CD"
10;11;127.15;95.36250000000001;"CD"
12;13;130.87;98.1525;"CD"
14;15;138.27;103.70250000000001;"CD"
16;17;143.99;107.9925;"CD"
18;19;146.16;109.62;"CD"
20;21;153.27;114.95250000000001;"CD"
22;23;154.93;116.1975;"CD"
24;25;160.85;120.63749999999999;"CD"
26;27;166.48;124.85999999999999;"CD"
28;29;169.75;127.3125;"CD"
30;31;173.74;130.305;"CD"
32;33;179.32;134.49;"CD"
34;35;183.72;137.79;"CD"
36;37;189.22;141.915;"CD"
38;39;194.26;145.695;"CD"
40;41;197.21;147.9075;"CD"
42;43;201.92;151.44;"CD"
44;45;207.48;155.60999999999999;"CD"
46;47;212.77;159.57750000000001;"CD"
48;49;217.23;162.92249999999999;"CD"
50;51;223.43;167.5725;"CD"
52;53;228.76;171.57;"CD"
54;55;233.53;175.1475;"CD"
56;57;241.83;181.3725;"CD"
58;59;249.24;186.93;"CD"
60;61;253.85;190.3875;"CD"
62;63;261.74;196.305;"CD"
64;65;267.87;200.9025;"CD"
66;67;270.15;202.61249999999998;"CD"
68;69;273.34;205.005;"CD"
70;71;277.18;207.885;"CD"
72;73;291.3;218.47500000000002;"CD"
74;75;291.23;218.4225;"CD"
76;77;290.56;217.92000000000002;"CD"
78;79;290.01;217.5075;"CD"
80;81;289.58;217.185;"CD"
82;83;290.97;218.22750000000002;"CD"
84;85;289.41;217.0575;"CD"
86;87;290.89;218.1675;"CD"
88;89;289.56;217.17000000000002;"CD"
90;91;290.36;217.77;"CD"
92;93;291.15;218.36249999999998;"CD"
94;95;290.42;217.815;"CD"
96;97;290.59;217.9425;"CD"
98;99;290.53;217.89749999999998;"CD"
100;101;290.63;217.9725;"CD"
102;103;290.71;218.03249999999997;"CD"
104;105;291.91;218.9325;"CD"
106;107;290.68;218.01;"CD"
108;109;290.79;218.09250000000003;"CD"
110;111;290.53;217.89749999999998;"CD"
112;113;289.23;216.9225;"CD"
114;115;287.91;215.9325;"CD"
116;117;287.59;215.6925;"CD"
118;119;286.19;214.64249999999998;"CD"
120;121;282.53;211.89749999999998;"CD"
122;123;282.91;212.1825;"CD"
124;125;8.15;0.0;"SD"
126;127;10.52;0.0;"SD"
128;129;14.79;0.0;"SD"
130;131;17.47;13.1025;"CD"
132;133;21.4;16.049999999999997;"CD"
134;135;25.68;19.259999999999998;"CD"
136;137;28.49;21.3675;"CD"
138;139;33.85;25.387500000000003;"CD"
140;141;36.91;27.682499999999997;"CD"
142;143;40.99;30.7425;"CD"
144;145;46.07;34.5525;"CD"
146;147;49.15;36.8625;"CD"
148;149;54.21;40.6575;"CD"
150;151;59.22;44.415;"CD"
152;153;64.59;48.4425;"CD"
154;155;67.65;50.737500000000004;"CD"
156;157;7.64;0.0;"SD"
158;159;12.87;9.6525;"CD"
160;161;17.1;12.825000000000001;"CD"
162;163;21.73;16.2975;"CD"
164;165;25.44;19.080000000000002;"CD"
166;167;28.47;21.3525;"CD"
168;169;30.8;23.1;"CD"
170;171;33.09;24.817500000000003;"CD"
172;173;35.93;26.947499999999998;"CD"
174;175;36.3;27.224999999999998;"CD"
176;177;39.47;29.6025;"CD"
178;179;40.97;30.7275;"CD"
180;181;41.48;31.11;"CD"
182;183;43.89;32.917500000000004;"CD"
184;185;42.86;32.144999999999996;"CD"
186;187;47.61;35.707499999999996;"CD"
188;189;47.96;35.97;"CD"
190;191;49.85;37.3875;"CD"
192;193;50.81;38.1075;"CD"
194;195;52.46;39.345;"CD"
196;197;54.25;40.6875;"CD"
198;199;55.11;41.332499999999996;"CD"
